Designator,Mid X,Mid Y,Rotation,Layer
D1,91.7975,-67.975,0.0,top
D2,91.7975,-71.525,0.0,top
D3,91.7975,-75.075,0.0,top
D4,91.7975,-78.625,0.0,top
D5,91.7975,-82.175,0.0,top
D6,91.7975,-85.725,0.0,top
D7,91.7975,-89.275,0.0,top
D8,91.7975,-92.825,0.0,top
SW1,104.33875,-67.125,0.0,top
SW2,104.33875,-86.01625,0.0,top
SW3,121.1575,-67.125,0.0,top
SW4,121.1575,-86.01625,0.0,top
SW5,137.99375,-67.125,0.0,top
SW6,137.99375,-86.01625,0.0,top
SW7,155.315,-67.125,0.0,top
SW8,155.315,-86.01625,0.0,top
SW9,173.83125,-66.675,0.0,top
U1,175.1965,-85.725,270.0,top
